id,puerto,territorio_historico,t,c,a,ultima_actualizacion,red,carretera,situacion,fuente
1,AGIÑA,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,NA-4000,,Gobierno de Navarra
2,AIURDIN,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-3600,,Diputaciones
3,ALMANDOZ,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-121,,Gobierno de Navarra
4,ALTUBE,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-624,,Diputaciones
5,ALTUBE AP-68 (BILBAO),Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Prim.,AP-68,,Dpto.Seguridad
6,ALTUBE AP-68 (ZARAGOZA),Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Prim.,AP-68,,Dpto.Seguridad
7,ANDATZARRATE,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2631,,Dpto.Seguridad
8,ANDRAKA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2120,,Dpto.Seguridad
9,ARANTZAZU,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3591,,Dpto.Seguridad
10,AREITIO,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-634,,Dpto.Seguridad
11,ARITXULEGI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3420,,Dpto.Seguridad
12,ARLABAN,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-627,,Dpto.Seguridad
13,ARRANGIZGANA (TRABAKUA),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-633,,Dpto.Seguridad
14,ARRATE,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3301,,Dpto.Seguridad
15,ARTEBAKARRA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-631,,Dpto.Seguridad
16,ARTIKUTZA,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3631,,Dpto.Seguridad
17,ARTXANDA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3741,,Dpto.Seguridad
18,ASTORKIGANA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2224,,Dpto.Seguridad
19,AUTZAGANA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3325,,Dpto.Seguridad
20,AVELLANEDA,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-2701,,Dpto.Seguridad
21,AZAZETA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-132,,Diputaciones
22,AZKARATE,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-2634,,Dpto.Seguridad
23,AZPIROZ,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,N-130,,Gobierno de Navarra
24,AZURKI,Gipuzkoa,abierto,abierto,abierto,2/2/2024 19:23,Secun.,GI-3210,,Dpto.Seguridad
25,BARAZAR,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Prim.,N-240,,Dpto.Seguridad
26,BAREZI,Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-631,,Dpto.Seguridad
27,BARRERILLA,Alava-Araba,abierto,abierto,abierto,2/2/2024 19:23,Secun.,A-2521,,Diputaciones
28,BELATE PUERTO,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Secun.,NA-1210,,Dpto.Seguridad
29,BELATE TUNEL,Navarra,abierto,abierto,abierto,2/2/2024 19:23,Prim.,N-121A,,Gobierno de Navarra
30,BERBIKIZ (SAN COSME),Bizkaia,abierto,abierto,abierto,2/2/2024 19:23,Secun.,BI-3621,,Dpto.Seguridad
